date,time,followers,company
02/12/2025,08:18:34,836809,extrastaff.recruitment
02/12/2025,08:19:00,836808,extrastaff.recruitment
02/12/2025,08:34:17,836795,extrastaff.recruitment
02/12/2025,12:51:30,836664,extrastaff.recruitment
02/12/2025,16:33:48,836654,extrastaff.recruitment
02/12/2025,20:28:43,836353,extrastaff.recruitment
03/12/2025,01:51:09,836338,extrastaff.recruitment
03/12/2025,04:31:37,836235,extrastaff.recruitment
03/12/2025,08:33:19,836113,extrastaff.recruitment
03/12/2025,12:51:48,835986,extrastaff.recruitment
03/12/2025,16:34:21,835983,extrastaff.recruitment
03/12/2025,20:28:18,835859,extrastaff.recruitment
04/12/2025,01:52:22,835803,extrastaff.recruitment
04/12/2025,04:32:57,835749,extrastaff.recruitment
04/12/2025,08:33:41,835674,extrastaff.recruitment
